period,num_trips,total_amount,trip_distance,passenger_count
2023-01-01,0,0.0,0.0,0
2023-01-08,0,0.0,0.0,0
2023-01-15,0,0.0,0.0,0
2023-01-22,0,0.0,0.0,0
2023-01-29,0,0.0,0.0,0
2023-02-05,0,0.0,0.0,0
2023-02-12,0,0.0,0.0,0
2023-02-19,55,910.9,0.01,54
2023-02-26,463883,12449534.27,2035979.6,606738
2023-03-05,776676,21226946.54,2735520.51,1019683
2023-03-12,781610,21849121.8,3044787.94,1038121
2023-03-19,740713,20853872.41,2746223.51,977418
2023-03-26,640749,18253660.86,2725053.12,839369
2023-04-02,69,1693.55,179.48,100
2023-04-09,0,0.0,0.0,0
2023-04-16,0,0.0,0.0,0
2023-04-23,0,0.0,0.0,0
2023-04-30,0,0.0,0.0,0
2023-05-07,0,0.0,0.0,0
2023-05-14,0,0.0,0.0,0
2023-05-21,0,0.0,0.0,0
2023-05-28,0,0.0,0.0,0
2023-06-04,0,0.0,0.0,0
2023-06-11,0,0.0,0.0,0
2023-06-18,0,0.0,0.0,0
2023-06-25,0,0.0,0.0,0
2023-07-02,0,0.0,0.0,0
2023-07-09,0,0.0,0.0,0
2023-07-16,0,0.0,0.0,0
2023-07-23,0,0.0,0.0,0
2023-07-30,0,0.0,0.0,0
2023-08-06,0,0.0,0.0,0
2023-08-13,0,0.0,0.0,0
2023-08-20,0,0.0,0.0,0
2023-08-27,0,0.0,0.0,0
2023-09-03,0,0.0,0.0,0
2023-09-10,0,0.0,0.0,0
2023-09-17,0,0.0,0.0,0
2023-09-24,0,0.0,0.0,0
2023-10-01,0,0.0,0.0,0
2023-10-08,0,0.0,0.0,0
2023-10-15,0,0.0,0.0,0
2023-10-22,0,0.0,0.0,0
